symbol,date,price
Drought,Jul 2009,23.18
Drought,Aug 2009,24.43
Drought,Sep 2009,25.49
Drought,Oct 2009,27.48
Drought,Nov 2009,29.27
Drought,Dec 2009,30.34
Drought,Jan 2010,28.05
Drought,Feb 2010,28.67
Drought,Mar 2010,28.8
Warm,Jan 2000,64.56
Warm,Feb 2000,68.87
Warm,Mar 2000,67
Warm,Apr 2000,55.19
Warm,May 2000,48.31
Warm,Jun 2000,36.31
Warm,Jul 2000,30.12
Warm,Aug 2000,41.5
Warm,Sep 2000,38.44
Warm,Oct 2000,36.62
Warm,Nov 2000,24.69
Warm,Dec 2000,15.56
Warm,Jan 2001,17.31
Warm,Feb 2001,10.19
Warm,Mar 2001,10.23
Warm,Apr 2001,15.78
Warm,May 2001,16.69
Warm,Jun 2001,14.15
Warm,Jul 2001,12.49
Warm,Aug 2001,8.94
Warm,Sep 2001,5.97
Warm,Oct 2001,6.98
Warm,Nov 2001,11.32
Warm,Dec 2001,10.82
Warm,Jan 2002,14.19
Warm,Feb 2002,14.1
Warm,Mar 2002,14.3
Warm,Apr 2002,16.69
Warm,May 2002,18.23
Warm,Jun 2002,16.25
Warm,Jul 2002,14.45
Warm,Aug 2002,14.94
Warm,Sep 2002,15.93
Warm,Oct 2002,19.36
Warm,Nov 2002,23.35
Warm,Dec 2002,18.89
Warm,Jan 2003,21.85
Warm,Feb 2003,22.01
Warm,Mar 2003,26.03
Warm,Apr 2003,28.69
Warm,May 2003,35.89
Warm,Jun 2003,36.32
Warm,Jul 2003,41.64
Warm,Aug 2003,46.32
Warm,Sep 2003,48.43
Warm,Oct 2003,54.43
Warm,Nov 2003,53.97
Warm,Dec 2003,52.62
Warm,Jan 2004,50.4
Warm,Feb 2004,43.01
Warm,Mar 2004,43.28
Warm,Apr 2004,43.6
Warm,May 2004,48.5
Warm,Jun 2004,54.4
Warm,Jul 2004,38.92
Warm,Aug 2004,38.14
Warm,Sep 2004,40.86
Warm,Oct 2004,34.13
Warm,Nov 2004,39.68
Warm,Dec 2004,44.29
Warm,Jan 2005,43.22
Warm,Feb 2005,35.18
Warm,Mar 2005,34.27
Warm,Apr 2005,32.36
Warm,May 2005,35.51
Warm,Jun 2005,33.09
Warm,Jul 2005,45.15
Warm,Aug 2005,42.7
Warm,Sep 2005,45.3
Warm,Oct 2005,39.86
Warm,Nov 2005,48.46
Warm,Dec 2005,47.15
Warm,Jan 2006,44.82
Warm,Feb 2006,37.44
Warm,Mar 2006,36.53
Warm,Apr 2006,35.21
Warm,May 2006,34.61
Warm,Jun 2006,38.68
Warm,Jul 2006,26.89
Warm,Aug 2006,30.83
Warm,Sep 2006,32.12
Warm,Oct 2006,38.09
Warm,Nov 2006,40.34
Warm,Dec 2006,39.46
Warm,Jan 2007,37.67
Warm,Feb 2007,39.14
Warm,Mar 2007,39.79
Warm,Apr 2007,61.33
Warm,May 2007,69.14
Warm,Jun 2007,68.41
Warm,Jul 2007,78.54
Warm,Aug 2007,79.91
Warm,Sep 2007,93.15
Warm,Oct 2007,89.15
Warm,Nov 2007,90.56
Warm,Dec 2007,92.64
Warm,Jan 2008,77.7
Warm,Feb 2008,64.47
Warm,Mar 2008,71.3
Warm,Apr 2008,78.63
Warm,May 2008,81.62
Warm,Jun 2008,73.33
Warm,Jul 2008,76.34
Warm,Aug 2008,80.81
Warm,Sep 2008,72.76
Warm,Oct 2008,57.24
Warm,Nov 2008,42.7
Warm,Dec 2008,51.28
Warm,Jan 2009,58.82
Warm,Feb 2009,64.79
Warm,Mar 2009,73.44
Warm,Apr 2009,80.52
Warm,May 2009,77.99
Warm,Jun 2009,83.66
Warm,Jul 2009,85.76
Warm,Aug 2009,81.19
Warm,Sep 2009,93.36
Warm,Oct 2009,118.81
Warm,Nov 2009,135.91
Warm,Dec 2009,134.52
Warm,Jan 2010,125.41
Warm,Feb 2010,118.4
Warm,Mar 2010,148.82
sea-level,Jan 2000,100.52
sea-level,Feb 2000,92.11
sea-level,Mar 2000,106.11
sea-level,Apr 2000,99.95
sea-level,May 2000,96.31
sea-level,Jun 2000,98.33
sea-level,Jul 2000,100.74
sea-level,Aug 2000,118.62
sea-level,Sep 2000,101.19
sea-level,Oct 2000,88.5
sea-level,Nov 2000,84.12
sea-level,Dec 2000,76.47
sea-level,Jan 2001,100.76
sea-level,Feb 2001,89.98
sea-level,Mar 2001,86.63
sea-level,Apr 2001,103.7
sea-level,May 2001,100.82
sea-level,Jun 2001,102.35
sea-level,Jul 2001,94.87
sea-level,Aug 2001,90.25
sea-level,Sep 2001,82.82
sea-level,Oct 2001,97.58
sea-level,Nov 2001,104.5
sea-level,Dec 2001,109.36
sea-level,Jan 2002,97.54
sea-level,Feb 2002,88.82
sea-level,Mar 2002,94.15
sea-level,Apr 2002,75.82
sea-level,May 2002,72.97
sea-level,Jun 2002,65.31
sea-level,Jul 2002,63.86
sea-level,Aug 2002,68.52
sea-level,Sep 2002,53.01
sea-level,Oct 2002,71.76
sea-level,Nov 2002,79.16
sea-level,Dec 2002,70.58
sea-level,Jan 2003,71.22
sea-level,Feb 2003,71.13
sea-level,Mar 2003,71.57
sea-level,Apr 2003,77.47
sea-level,May 2003,80.48
sea-level,Jun 2003,75.42
sea-level,Jul 2003,74.28
sea-level,Aug 2003,75.12
sea-level,Sep 2003,80.91
sea-level,Oct 2003,81.96
sea-level,Nov 2003,83.08
sea-level,Dec 2003,85.05
sea-level,Jan 2004,91.06
sea-level,Feb 2004,88.7
sea-level,Mar 2004,84.41
sea-level,Apr 2004,81.04
sea-level,May 2004,81.59
sea-level,Jun 2004,81.19
sea-level,Jul 2004,80.19
sea-level,Aug 2004,78.17
sea-level,Sep 2004,79.13
sea-level,Oct 2004,82.84
sea-level,Nov 2004,87.15
sea-level,Dec 2004,91.16
sea-level,Jan 2005,86.39
sea-level,Feb 2005,85.78
sea-level,Mar 2005,84.66
sea-level,Apr 2005,70.77
sea-level,May 2005,70.18
sea-level,Jun 2005,68.93
sea-level,Jul 2005,77.53
sea-level,Aug 2005,75.07
sea-level,Sep 2005,74.7
sea-level,Oct 2005,76.25
sea-level,Nov 2005,82.98
sea-level,Dec 2005,76.73
sea-level,Jan 2006,75.89
sea-level,Feb 2006,75.09
sea-level,Mar 2006,77.17
sea-level,Apr 2006,77.05
sea-level,May 2006,75.04
sea-level,Jun 2006,72.15
sea-level,Jul 2006,72.7
sea-level,Aug 2006,76.35
sea-level,Sep 2006,77.26
sea-level,Oct 2006,87.06
sea-level,Nov 2006,86.95
sea-level,Dec 2006,91.9
sea-level,Jan 2007,93.79
sea-level,Feb 2007,88.18
sea-level,Mar 2007,89.44
sea-level,Apr 2007,96.98
sea-level,May 2007,101.54
sea-level,Jun 2007,100.25
sea-level,Jul 2007,105.4
sea-level,Aug 2007,111.54
sea-level,Sep 2007,112.6
sea-level,Oct 2007,111
sea-level,Nov 2007,100.9
sea-level,Dec 2007,103.7
sea-level,Jan 2008,102.75
sea-level,Feb 2008,109.64
sea-level,Mar 2008,110.87
sea-level,Apr 2008,116.23
sea-level,May 2008,125.14
sea-level,Jun 2008,114.6
sea-level,Jul 2008,123.74
sea-level,Aug 2008,118.16
sea-level,Sep 2008,113.53
sea-level,Oct 2008,90.24
sea-level,Nov 2008,79.65
sea-level,Dec 2008,82.15
sea-level,Jan 2009,89.46
sea-level,Feb 2009,90.32
sea-level,Mar 2009,95.09
sea-level,Apr 2009,101.29
sea-level,May 2009,104.85
sea-level,Jun 2009,103.01
sea-level,Jul 2009,116.34
sea-level,Aug 2009,117
sea-level,Sep 2009,118.55
sea-level,Oct 2009,119.54
sea-level,Nov 2009,125.79
sea-level,Dec 2009,130.32
sea-level,Jan 2010,121.85
sea-level,Feb 2010,127.16
sea-level,Mar 2010,125.55
Flood,Jan 2000,25.94
Flood,Feb 2000,28.66
Flood,Mar 2000,33.95
Flood,Apr 2000,31.01
Flood,May 2000,21
Flood,Jun 2000,26.19
Flood,Jul 2000,25.41
Flood,Aug 2000,30.47
Flood,Sep 2000,12.88
Flood,Oct 2000,9.78
Flood,Nov 2000,8.25
Flood,Dec 2000,7.44
Flood,Jan 2001,10.81
Flood,Feb 2001,9.12
Flood,Mar 2001,11.03
Flood,Apr 2001,12.74
Flood,May 2001,9.98
Flood,Jun 2001,11.62
Flood,Jul 2001,9.4
Flood,Aug 2001,9.27
Flood,Sep 2001,7.76
Flood,Oct 2001,8.78
Flood,Nov 2001,10.65
Flood,Dec 2001,10.95
Flood,Jan 2002,12.36
Flood,Feb 2002,10.85
Flood,Mar 2002,11.84
Flood,Apr 2002,12.14
Flood,May 2002,11.65
Flood,Jun 2002,8.86
Flood,Jul 2002,7.63
Flood,Aug 2002,7.38
Flood,Sep 2002,7.25
Flood,Oct 2002,8.03
Flood,Nov 2002,7.75
Flood,Dec 2002,7.16
Flood,Jan 2003,7.18
Flood,Feb 2003,7.51
Flood,Mar 2003,7.07
Flood,Apr 2003,7.11
Flood,May 2003,8.98
Flood,Jun 2003,9.53
Flood,Jul 2003,10.54
Flood,Aug 2003,11.31
Flood,Sep 2003,10.36
Flood,Oct 2003,11.44
Flood,Nov 2003,10.45
Flood,Dec 2003,10.69
Flood,Jan 2004,11.28
Flood,Feb 2004,11.96
Flood,Mar 2004,13.52
Flood,Apr 2004,12.89
Flood,May 2004,14.03
Flood,Jun 2004,16.27
Flood,Jul 2004,16.17
Flood,Aug 2004,17.25
Flood,Sep 2004,19.38
Flood,Oct 2004,26.2
Flood,Nov 2004,33.53
Flood,Dec 2004,32.2
Flood,Jan 2005,38.45
Flood,Feb 2005,44.86
Flood,Mar 2005,41.67
Flood,Apr 2005,36.06
Flood,May 2005,39.76
Flood,Jun 2005,36.81
Flood,Jul 2005,42.65
Flood,Aug 2005,46.89
Flood,Sep 2005,53.61
Flood,Oct 2005,57.59
Flood,Nov 2005,67.82
Flood,Dec 2005,71.89
Flood,Jan 2006,75.51
Flood,Feb 2006,68.49
Flood,Mar 2006,62.72
Flood,Apr 2006,70.39
Flood,May 2006,59.77
Flood,Jun 2006,57.27
Flood,Jul 2006,67.96
Flood,Aug 2006,67.85
Flood,Sep 2006,76.98
Flood,Oct 2006,81.08
Flood,Nov 2006,91.66
Flood,Dec 2006,84.84
Flood,Jan 2007,85.73
Flood,Feb 2007,84.61
Flood,Mar 2007,92.91
Flood,Apr 2007,99.8
Flood,May 2007,121.19
Flood,Jun 2007,122.04
Flood,Jul 2007,131.76
Flood,Aug 2007,138.48
Flood,Sep 2007,153.47
Flood,Oct 2007,189.95
Flood,Nov 2007,182.22
Flood,Dec 2007,198.08
Flood,Jan 2008,135.36
Flood,Feb 2008,125.02
Flood,Mar 2008,143.5
Flood,Apr 2008,173.95
Flood,May 2008,188.75
Flood,Jun 2008,167.44
Flood,Jul 2008,158.95
Flood,Aug 2008,169.53
Flood,Sep 2008,113.66
Flood,Oct 2008,107.59
Flood,Nov 2008,92.67
Flood,Dec 2008,85.35
Flood,Jan 2009,90.13
Flood,Feb 2009,89.31
Flood,Mar 2009,105.12
Flood,Apr 2009,125.83
Flood,May 2009,135.81
Flood,Jun 2009,142.43
Flood,Jul 2009,163.39
Flood,Aug 2009,168.21
Flood,Sep 2009,185.35
Flood,Oct 2009,188.5
Flood,Nov 2009,199.91
Flood,Dec 2009,210.73
Flood,Jan 2010,192.06
Flood,Feb 2010,204.62
Flood,Mar 2010,223.02
